.+# .+# .+# .+# . .+# .+# .+# .+# .+# .+# .+# .+# .+#+Sr# .+#+#+Sr# .+#+#+#
.+# . . . .+p . .+L # .+pd + . . . .+pl .+# .+#++I
.+# . . . . . . + + + + # + . . .+#++#
.+# . .++pl .+M1+M1 .+M1+M1 .+# .+pr . . . + .+pd + . . .+#++I
.+# . . . .++M1 .+pd . . . . + + + . . .+#++#
.+# . . . . . . . . . + + + . . .+#++I
.+# . . . . . . . . . . . . . . .+#++#
.+# . . . . . . . . . . . . . . .+#++I
.+# + + + + + + + + + + + + + + .+#++#
. . .+# + + + + + + + + . . . . .+#++I
.+# . . + + . . . . . + . .+# . . .+#++#
.+# . . + . . . . . . + . .+# . .+l .+#
.+# + + + . . . . .+pu . + + + + + .+#
.+# + + + . . . . .+M0+M0 . . . . .+pu . .+#
.+# .+# + + + + + . .++M0 .+#+M0 # # # .+# .+# .+#
.+# .+# .+# .+# .+#+# .+# + + .+# .+# .+# .+# .+# .+# .+# .+#
