.+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+#
+ + + + + + + + + + + + + + + +
+ + + . . . . . . . . . . . . .
+ + . . . . . . . . . . . . . .
+ . . .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# . . . . .
+ . . .+#+# . . . . . . .+#+# .+#+# .+#+# .+#+# .+#+# .+#+#
+ . . .+#+#+# .++#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# . .+#+# . . . . .
. . . .+#+#+# . .+Sr# .+#+Sr# .+#+#+Sr# .+#+#+# . .+#+# . . . . .
. .+# .+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .++#+# .+#+# .+# .+# .+#+# .+#+# .
. .+# . .+++# .+++# .+++#+G .+++# . .+#+#+# .+++# .+#+# . . .+#+# .+#+# .
. .+# . .+#+#+# .+#+#+# .+#+#+# .+#+#+# . .+# . . . . . .+#+# .
. .+# . .+#+# .+#+# .+#+# .+#+# . .+# . . .+M0 . . .+#+# .
. .+# . .+#+# .+#+# .+#+# .+#+# . .+# .+#+#+# .+++# .+++# .+++# .+#+#+# .+#+# .
.+#+#+p .+#+# .+c0+c0 .+#+# .+#+# .+#+# .+#+# . .+#+# .+#+# .+#+# .+#+# . .+#+# .+#+# .
. .+# . . . . .+# .+#+#+# .+# . . .+++# . .+# . .
. .+# .+# .+# .+# . . .+++# . . .+# .+#+#+# .+# .+# . .
