.+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+#
.+#+# .+#+# .+#+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# . .+#
.+#+# .+#+# .+#+# .+# .+#+c0 .+#+c0 .+#+c0 .+#+c0 .+#+c0 .+#+c0 .+#+c0 .+# .+# .+# . .+#
.+#+# .+#+# .+#+# .+#+Sl# .+# .+# .+# .+# .+# .+# .+#+c0 .+# .+# .+# . .+#
.+#+# .+#+# .+#+# .+#+# .+# .+# .+# .+# .+# .+# .+#+c0+Sdc0 .+# .+# .+# . .+#
.+#+#+p .+#+# .+#+# .+#+# .+# .+# .+#+c0+c0 .+#++c0 .+#++c0 .+#++c0 .+#+c0+c0 .+# .+# .+# . .+#
.+# .+# .+# .+#+# .+#+# .+# .+#+c0+Suc0 .+# .+# .+# .+# .+# .+# .+# . .+#
.+# .+# .+# .+# .+#+# .+# .+#+c0 .+# .+# .+# .+# .+# .+# .+# . .+#
.+# .+# .+# .+# .+#+# .+#+#+Sr# .+#+c0 .+#+c0 .+#+c0 .+#+c0 .+#+c0 .+#+c0 .+#+c0 .+# . .+#
.+#+#+#+G .+#+#+Sl# .+# .+# .+#+M0 .+# .+# .+# .+# .+# .+# .+# .+#+c0+c0 .+# . .+#
.+# .+# .+# .+# .+#+M0 .+# .+# .+# .+# .+# .+# .+# .+#++c0 .+# . .+#
.+# .+# .+#+#+Sd# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+#+c0+c0 .+#+# .+#+# .+#+#
.+# .+# .+#+#+#+M1 .+# .+# .+# .+#+c0 .+#+c0 .+#+c0 .+#+c0 .+#+c0 .+#+c0 .+#+c0 .+#+# .+#+# .+#+#
.+# .+# .+#+#+Su# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+#+Sr# .+#+# .+#+#
.+# .+# .+#+# .+#+# .+#+# .+# .+# .+# .+# .+# .+# .+# .+# .+#+# .+#+# .+#+#
.+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+#
