.+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+#
. . . . . . . . . . . . . . . .
.+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+#
.+# .+pr . . . . + . . . . . .+# #+G .+#+#+# .+#+#+#
.+#+# . . . . . + . . . . . .+#+# .+#+# .+#+#+# .+#+#+#
.+#+#+M0 .+++pr .+l . . . + .+#+# .+#+# .+#+# #+# . .+#+# # # .+#+#+#
.+#+# . . . . . . . . . #+# . .+#+# # # .+#+#+#
.+#+Su# . .+# . . . + .+Sd# + + #+# . .+#+# + + +
.+# . .+# . . . + . . . .+c1 . .+#+# + + +
.+p . . . . . + . . . . . .+#+# + + +
+ + + + + + + . . . .+pu . .+#+# + + +
+ + + + + + + . . . .+c0 . .+#+# + + +
+ + + + + + + . . .+#+# .+#+# .+#+# .+#+# + + +
+ + + + + + + + + + + + + + + +
+ + + + + + + + + + + + + + + +
+ + + + + + + + + + + + + + + +
