.+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+#
.+#+# .+#+#+# #+#+# #+#+# + + + + + .+# .+#+Sr# .+#+# .+#+#+# .+#+# .+#+# .+#+#
.+#+#+#+p .+#+#+# #+#+# #+#+# + + + + + .+# .+# .+# .+# .+# .+# .+#+#
+ + + #+#+# + + . . . . . . .+Su# . . .+#+#+#
+ + + #+#+# + + . . . . . . . . . .+#+#+#
+ + + #+#+# + + . . .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# . .+#+#+#
+ #+#+# #+#+# #+#+# + + . . .+#+# . . . . .+#+# . .+#+#+#
+ #+#+Su# + #+#+# + + . . .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# . .+#+#+#
+ #+Su# + #+#+# + + . . .+#+# . .+#+# . . .+#+#+c0 . .+#+#+#
+ # + #+#+# + + . . .+#+# . .+#+#+M0 . . .+#+# . .+#+#+#
+ # # #++# # # .+#+Sr# . .+#+# .+#+# .+#+# . . .+#+# . .+#+#+#
+ + + #+#+# . . . . . . .+#+# .+#+# .+#+# .+#+# . .+#+#+#
+ + + #+#+Su# . . . . . . . . . . . .+#+#+#
+ + + .+#+# .+#+Sl# .+Sl# . . . . . . . . . .+#+#+#
+ + + . . . . . + + + + + + + +
+ + + . . . . . + + + + + + + +
