.+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+#
. . . . . . . + + + + + + + + +
. . . . . . . + + + + + + + + +
. . . . . . . + + + + + + + + +
. . . . . . . + + + + + + + + +
.+#+#+p .+#+# .+#+c0 .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+# .+#+# .+#+# .+#+#
. . . . . . .+c1+# .+c1+# .+c1+# . . . + + + +
. . . . . . .+c1+# .+c1+# .+c1+# . . . + + + +
. . . . . . .+c1+# .+c1+# .+c1+# . . . + .+# + +
. . . . . . .+#+Su# .+#+# .+#+# . . . + + + +
. . . . . .+# .+#+M0 .++Su# . . . . + + + +
.+# . . . . .+# .+#+M0 . . . . . + + + +
. . . . . . . . . . . . + + + +
. . . . . + + + + + + + + + + +
. . . . . + + + + + + + + + + +
. . . . . + + + + + + + + + + +
