.+#+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+t2 .+#+#+# .+#+#+# .+#+#+#+t2 .+#+#+# .+#+#+# .+#+#+# .+#+#+#+t2 .+#+#+# .+#+#+# .+#+#+#+t2 .+#+#+# .+#+#+#
.+#+#+# .+#+++# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+#
.+#+#+#+# .+#+++# .+# + + + + + + + + + + + + #
.+#+#+# .+#+++# .+# + + + + + + + + + + + + #
.+#+#+#+# .+#+++# .+# . . + + + + + + + + + + #
.+#+#+# .++++# . . . . . . . . .+# .+# + + + #
.+#+#+#+# .++++# . . . . . . . . .++# .+#+l + + + #
.+#+#+# .+l+++# . . . . . . . . . .+# + + + #+Sd#
.+#+#+#+# .++++# . . . . . . . . .+l .+# + + + #+#+Sd#
.+#+#+# ++++# + . . .+# .+# . .+Su# + + + + + + #+#+#+Sd#
.+#+#+#+# ++++# + + .+l .+# .+I . . + + + + #+#+#+#+# #+#+#+#+#+# #+#+#+#+Sd#
.+#+#+# ++++# + + + .+# .+# .+# .+# .+# .+# .+# .+# .+#+#+#+#+# .+#+#+#+#+#+pd .+#+#+#+#+#
.+#+#+#+# .+#+#+#+# + + + .+# .+# .+# .+#+M1+SdM1 .+#+M1+SdM1 .+#+M0+M0 .+#+M0+M0+L .+# .+# .+# .+#
.+#+#+# .+#+#+#+# + + + .+# .+# .+# .+#+M1+M1+l .+#+M1+M1 .+#+M0+SuM0 .+#+M0+SuM0 .+# .+# .+# .+#
.+#+#+#+#+# .+#+#+#+Su# + + + .+# .+# .+# .+# .+# .+# .+# .+# .+#+p .+# .+#
.+#+#+#+# .+#+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+# .+# .+# .+# .+#
