.+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+#
. .+p . . . . . . . . . . . .+#+#+# .+#+#+# .+#+#
.+#+#+# .+#+#+# i++#+# i+++# i+++# i+++# i+++# i+++# i+++# i+++# i+++# i+++# i++#+# .+#+#+# .+#+#+# .+#+#+#
i i i i i i i i i i i i i .+#+#+G + +
i i i i i i i i i i i i i .+#+# + +
i i i i i i i i i i i i i .+#+# + +
. . . . . . . . . . . . . .+#+# + +
+ + . . . . . . . . . . . .+#+# + +
+ + . . . . . .+M0+l . + + .+#+# .+#+# .+#+# + +
. . . . . . . . + + + .+#+# + + + +
. . . . . . . .+l + + + .+#+# + + + +
.+Sd# .+Sd# .+#+# .+#+# .+#+#+M1+M1 .+#+# .+#+# . .+#+# .+#+# .+#+# . . . + +
. . . . . . . . . .+M2+SuM2 i i . i + +
. . . . . . . . + .+SuM2 + + . i + +
+ + . . .+f . . . # . # # . i + +
+ + . . . . . . # . i i . . + +
