.+#+#+#+#+#+# .+#++# .+# .+# .+Sl# . . . . .+#+#+#+# .+#+#+#+# .+#+#+#+# .+#+#+#+# .+#++#+# .+#+#+#+# .+#+#+#+#
.+#+#+#+#+# .+#+# .+#+G .+# .+#+#+#+# .+#+#+# .+#+#+# .+# . .+#+#+#+# .+#+#+#+# .+#+#+# .+# .+# .+# .+#+#+#+#
.+#+#+#+#+#+# .+#++# .+# .+# .+#+#+#+# . .+#+#+# .+# . . . .+#+#+# .+# .+# .+# .+#+#+#+#
.+#+#+#+#+# .+#++# . . .++#+#+# .++#+# .+#+#+# .+# .+#+#+#+# .+#+#+#+# . .+#+#+# .+# .+# .+# .+#+#+#+Su#
.+#+#+#+#+#+# .+#++# . .+# .+# .+# .+# .+# .+#+#+#+# .+#+#+#+# . .++#+# .+# .+# .+# .+#+#+Su#
.+#+#+#+#+# .+#++# . .+# .+#+M2 .+#+M2 .+#+M2 .+#+Sr# .+#+# .+#+# .+#+# .++# + . . .+#+Su#
.+#+#+#+#+#+# .+#++# . .+# .+#+M2 .+#+M2+M3 .+#+M2 .+#+Sr# .+#+# .+#+# .+#+# .++# + . . .+#
.+#+#+#+#+# .+#++# . .+# .+#+M2 .+#+M2 .+#+M2 .+# .+#+# .+#+# .++# .++# + . . .+#
.+#+#+#+#+#+# .+#++#+M5+M5 . .+# .+# .+# .+# .+#+# .+#+# .+#+# . . .+# .+# .+# .+#
.+#+#+#+#+# .+# . . . . .+# .+#+# .+#+#+L .+#+Su# . . .+# . . .
.+#+#+#+#+#+# .+#+#+#+M4+# .+#+#+#+#+# .+#+#+#+#+# .+# . .+# .+#++# .+# .+# .+# . .+# . .+# .+#
.+#+#+#+#+# .+#+#+#++# .+#+#+#+#+#+t2 .+#+#+#+#+# .+# . . .+++# . .+#+# . . . . .+# .+#
.+#+#+#+#+#+# .+#+#+#++# .+#+#+#+#+# .+#+#+#+#+# .+#+#+#+#+# .+#+#+# .+#+#+# .+++# .+++# . . . .+#+M0+M0+SlM0 .+#+M0+M0+SrM0 .+#+M0+M0+M0 .+#
.+#+#+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+#+M1+M1 .+#++# .+#++# .+# . . .+#+M0+SdM0 .+#+M0+M0+pl .+#+M0+M0+M0 .+#
.+#+#+#+#+#+# .+#+#+# .+#+#+#+p .+#+#+# .+#+#+# .+#+#+# .+#+#+#+M1+M1 .+#++# .+#+#+# .+# .+# .+# .+#+M0+M0 .+#+M0+M0 .+#+M0+M0+SuM0 .+#
.+#+#+#+#+# .+#+#+# .+#+#+# .+#+#+Sl# .+#+Sl# .+# .+# .+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+Sl# .+#+Sl# .+# .+#
