. .+#+#+#+#+#+# . . .+# i+#+# i+# i+#+Sr i+#+I+Sr i+#++# i+#++#+# i+#+++# i+#+++#+Sr i+#++++I+Sr .+#+#+#+#+#+# .
. .+#+#++++# . . .+# i+# i i i i i i i i+Su .+#+#++++# .
. .+#+#+#+#++# . . .+# i++++++I i++++++I i++++++# i++++++# i+#+++++# i+#+#++++# i+#+#++++# i++++++# i++++++# i+#+#+#+#++# .
. .+#+#++++# . . .+#+# i i i i i++# i+I i+#+# i i i++#++++# i
. .+#+#+#+#+#+# . . .+#+# i i i i+#+# i++# i+#+#+# i i+M1 i+Sd .+#+#+#+#+#+# .
. .+#+#++++# .++++++# .++++++# .+#+++++# i++++++# i++++++# i++++++I i+#+++++I i i+#+# i i+M1 i+# .+#+#++++# .
. .+#+#+#+#++# . . .+# i i+#+# i+#+#+# i+#+# i+#+# i i+M1 i+M1 i+M1 .+#+#+#+#++# .
. .+#+#++++# .++++++# .++++++# .+#+++++# i++++++I i+#+#+#+++I i i+#+# i++++++I i++++++I i++++++# i++++++# i++++++# .+#+#++++# .
. .+#+#+#+#+#+# . . .+#+# i i+#+# i+#+# i+#+#+# i i++# i++# i+#+Sd i .+#+#+#+#+#+# .
. .+#+#++++# . . .+#+# i i+M0 i i i i+# i++++++I i++#++++I i++++++# .+#+#++++# .
. .+#+#+#+#++# . . .+# i i+M0 i i i i i+#+Sr i++# i .+#+#+#+#++# .
. .+#+#++++# .++++++# .++++++# .+#+++++# .+#+++++# .+#+++++I .+#+++++I .+# i i i i i .+#+#++++# .
. .+#+#+#+#+#+# . . . . . . . .+#+++++I i+Su+++++I i++++++# i++++++# i++++++# .+#+#+#+#+#+# .
. .+#+#++++# . . . . . . .+p .+# i i i i .+#+#++++# .
. .+#+#+#+#++# .+#+# .+#+#+#+#+#+# .+#+#++++# .+#+#+#+#++# .+#+#++++# .++++++# .++++++# .+#+#++++# .+#+#+#+#++# .+#+#++++# .+#+#+#+#+#+# .+#+# .+#+#+#+#++# .
. .++++++# . . . . .+# . . .+# . . . . . .
