.+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+#
. . .+# . .+# .+# .+# .+# .+#+# .+#+# .+#+# .+#+# .+#+#+# . . .+#+#
. . .+#+#+#+#+# .+++++# .+#+#+#+#+# + + + + + + + .+#+#+# . . .+#+#+#
. . . . . . . . + + + + .+#+#+# . . .+#+#
.+Sd# . . . . . . . + + + + .+#+#+# . . .+#+#+#
.+#+p .+#+Sr# .+#+#+Sr# .+#+#+#+Sr# .+#+#+#+# . . . + + + + .+#+#+# . . .
. . . . .+#+#+#+# .+#+#+#+# . . + + + + .+#+#+# . . .
. . . . .+c0+c1+c2+c3 .+#+#+#+# .+#+#+#+#+Sr# . .+#+#+#+#+Sl# .+#+#+#+# .+#+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# . .
. . . . .+#+#+#+# .+#+#+#+# . . + + + + . .+#+#+#+Su# . .
. . . . . . . . + + + + . .+#+#+Su# . .
. . . . . . . . + + + + . .+#+Su# . .
. . . . . . . . + + + + . .+Su# . .
. . . . . . . . + + + + . . . .
. . . . . . . . .+#+#+#+#+M0+M0+M0+M0+M0 .+#+#+#+# + + . . . .
. . . . . . . . .+#+#+#+# .+#+#+#+# . . . . . .
. . . . . . .+#+#+#+# . .+#+#+#+# .+#+#+#+# . . . . . .
