.+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+#
. . . . . . . . . . . . . . . .
. . . . . . . . . .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+#
. . . . . . . .+#+#+# . . . . . . . .+#+#
. . . . . . . .+#+#+# . . . . . . . .+#+#
.+#+#+#+p .+#+#+Sl# .+#+# .+c0+c0 .+c0+c0 .+c0+c0 .+# .+# .+# .+# .+Sl# . . . . .+#+#
.+#+# .+#+# .+#+# .+c0+c0 . .+c0+c0 . . . . . . . . . .+#+#
.+#+# .+#+# .+#+# .+c0+c0 .+c0+c0 .+c0+c0 . . . . . . . . . .+#+#
.+#+#+# .+#+#+# .+#+#+# . . . . . . . . . . . . .+#+#
.+++# .+++# .+++# . . . . . . . . . . . . .
. . . . . . . . . . . . . + + +
. . . . . . . . . . . + + + + +
. . . . . . . . . + + + + + + +
. . . . . . + + + + + + + + + +
+ + + + + + + + + + + + + + + +
+ + + + + + + + + + + + + + + +
